0,0.08
0,0.33
0.01,0.74
0.02,1.3
0.03,2.03
0.06,2.92
0.09,3.97
0.14,5.18
0.2,6.56
0.27,8.09
0.36,9.79
0.47,11.61
0.59,13.46
0.74,15.31
0.9,17.17
1.08,19.04
1.28,20.91
1.5,22.78
1.74,24.66
1.99,26.55
2.27,28.44
2.56,30.34
2.87,32.24
3.21,34.15
3.56,36.06
3.93,37.98
4.32,39.91
4.73,41.84
5.15,43.78
5.6,45.72
6.07,47.67
6.55,49.62
7.06,51.58
7.59,53.54
8.13,55.51
8.7,57.49
9.28,59.47
9.89,61.46
10.51,63.45
11.15,65.45
11.82,67.45
12.5,69.45
13.21,71.46
13.93,73.47
14.68,75.49
15.44,77.51
16.23,79.53
17.03,81.56
18.28,84.61
20.23,89.19
23.36,96.1
28.42,106.42
34.01,116.85
40.11,127.36
46.74,137.95
53.91,148.63
61.61,159.38
69.85,170.22
78.63,181.13
87.96,192.1
97.84,203.12
108.27,214.18
119.26,225.3
130.81,236.46
142.91,247.66
155.57,258.88
168.8,270.12
182.58,281.37
196.93,292.63
211.85,303.9
227.32,315.17
243.37,326.44
259.97,337.7
277.14,348.96
294.87,360.22
313.16,371.48
332.01,382.74
351.43,394
371.41,405.28
391.96,416.58
413.07,427.89
434.75,439.22
456.99,450.56
479.8,461.91
503.18,473.27
527.13,484.63
551.65,495.98
576.73,507.3
602.38,518.6
628.59,529.85
655.36,541.05
682.69,552.19
710.58,563.23
739.01,574.18
767.99,585.05
797.51,595.84
827.58,606.57
858.17,617.2
889.29,627.69
920.93,638.05
953.09,648.28
985.76,658.37
1018.93,668.31
1052.59,678.06
1086.73,687.63
1121.34,696.99
1156.42,706.14
1191.95,715.07
1227.93,723.83
1264.33,732.42
1301.16,740.87
1338.42,749.19
1376.08,757.38
1414.15,765.43
1452.62,773.29
1491.47,780.93
1530.71,788.33
1570.3,795.49
1610.25,802.41
1650.54,809.09
1691.15,815.56
1732.09,821.83
1773.33,827.92
1814.88,833.84
1856.71,839.55
1898.83,845.02
1941.21,850.25
1983.85,855.22
2026.72,859.95
2069.84,864.46
2113.17,868.8
2156.71,872.98
2200.46,877.02
2244.41,880.9
2288.55,884.62
2332.87,888.18
2377.36,891.54
2422.02,894.73
2466.83,897.73
2511.79,900.59
2556.88,903.3
2602.11,905.86
2647.47,908.25
2692.93,910.46
2738.51,912.49
2784.18,914.33
2829.93,915.84
2875.75,916.98
2921.62,917.74
2967.52,918.14
3013.43,918.18
3059.33,917.87
3105.21,917.29
3151.05,916.44
3196.84,915.31
3242.57,913.92
3288.23,912.25
3333.79,910.24
3379.24,907.9
3424.57,905.2
3469.76,902.16
3514.78,898.81
3559.63,895.2
3604.3,891.48
3648.77,887.65
3693.06,883.68
3737.14,879.6
3781.02,875.42
3824.68,871.2
3868.14,866.99
3911.38,862.77
3954.41,858.53
3997.23,854.29
4039.84,850.05
4082.24,845.83
4124.42,841.64
4166.4,837.47
4208.17,833.31
4232.09,830.94
4267.85,827.39
4309.12,823.3
4350.18,819.26
4391.05,815.25
4431.71,811.26
4472.17,807.31
4512.44,803.38
4552.51,799.47
4592.39,795.58
4632.07,791.72
4671.56,787.88
4710.86,784.08
4749.97,780.31
4788.89,776.58
4827.63,772.88
4866.18,769.2
4904.55,765.53
4942.73,761.87
4980.73,758.22
5018.55,754.59
5056.19,750.99
5093.65,747.43
5130.94,743.9
5168.04,740.41
5204.98,736.95
5241.74,733.5
5278.33,730.05
5314.74,726.6
5350.99,723.16
5387.06,719.75
5422.96,716.37
5458.7,713.01
5494.26,709.68
5529.67,706.38
5564.9,703.12
5599.98,699.87
5634.89,696.63
5669.64,693.4
5704.23,690.17
5738.66,686.94
5772.92,683.73
5807.03,680.55
5840.98,677.39
5874.77,674.25
5908.41,671.14
5941.89,668.05
5975.21,664.98
6008.38,661.92
6041.4,658.87
6074.27,655.83
6106.99,652.81
6139.55,649.79
6171.97,646.8
6204.23,643.82
6236.35,640.86
6268.32,637.91
6300.14,634.97
6331.81,632.06
6363.35,629.16
6394.73,626.27
6425.97,623.39
6457.07,620.53
6488.03,617.67
6518.84,614.84
6549.51,612.02
6580.04,609.2
6610.43,606.4
6640.68,603.6
6670.79,600.81
6700.76,598.04
6730.59,595.28
6760.29,592.54
6789.85,589.82
6819.27,587.11
6848.56,584.41
6877.71,581.72
6906.73,579.04
6935.62,576.38
6964.37,573.72
6992.99,571.08
7021.48,568.44
7049.83,565.81
7078.06,563.18
7106.15,560.57
7134.11,557.97
7161.95,555.37
7189.65,552.79
7217.23,550.23
7244.68,547.68
7272,545.15
7299.19,542.64
7326.26,540.13
7353.2,537.64
7380.02,535.14
7406.72,532.65
7433.29,530.17
7459.73,527.68
7486.06,525.2
7512.25,522.71
7538.33,520.23
7564.28,517.76
7590.1,515.3
7615.81,512.86
7641.39,510.44
7666.85,508.05
7692.19,505.66
7717.42,503.3
7742.52,500.94
7767.51,498.59
7792.38,496.25
7817.14,493.92
7841.78,491.57
7866.3,489.22
7890.7,486.87
7914.98,484.51
7939.15,482.16
7963.2,479.82
7987.13,477.48
8010.95,475.16
8034.65,472.86
8058.23,470.58
8081.71,468.31
8105.06,466.05
8128.31,463.81
8151.45,461.57
8174.47,459.35
8197.38,457.12
8220.18,454.9
8242.87,452.69
8265.45,450.48
8287.92,448.26
8310.28,446.05
8332.52,443.84
8354.66,441.62
8376.69,439.41
8398.6,437.21
8420.41,435.01
8442.1,432.82
8463.69,430.64
8485.17,428.47
8506.54,426.32
8527.8,424.17
8548.95,422.04
8570,419.92
