LAT,LON,x (m),y (m),Altitude AGL
-78.06406,38.39825,0.0,0.0,125.5776
-78.06406,38.39825,0.0,0.0,125.5776
-78.06406,38.39825,0.0,0.0,125.5776
-78.06406,38.39825,0.0,0.0,125.5776
-78.06406,38.39825,0.0,0.0,125.5776
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.60808000000002
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.66904
-78.06406,38.39825,0.0,0.0,125.63856
-78.06406,38.39824,0.0,-0.2297977059368479,129.02184
-78.06406,38.39824,0.0,-0.2297977059368479,132.37464
-78.06406,38.39824,0.0,-0.2297977059368479,136.64184
-78.06406,38.39824,0.0,-0.2297977059368479,141.70152
-78.06405,38.39824,1.1111111114637928,-0.22979789566954076,147.61464
-78.06404,38.39823,2.222222221348602,-0.4595961709677346,154.5336
-78.06403,38.39823,3.333333332812395,-0.4595965504330925,162.27552
-78.06402,38.39822,4.444444444276188,-0.6893953947660139,170.80992
-78.06401,38.39821,5.555555555739981,-0.9191946187275325,180.13680000000002
-78.064,38.3982,6.666666667203773,-1.1489942219910645,190.31712
-78.06398,38.39819,8.888888888552376,-1.3787953432790143,201.3204
-78.06397,38.39818,10.000000000016168,-1.6085958952056691,213.11616000000004
-78.06396,38.39817,11.111111111479962,-1.8383968267608224,225.49104
-78.06395,38.39816,12.22222222136477,-2.068198137781169,238.506
-78.06394,38.39814,13.333333332828564,-2.527799810995397,252.13056000000003
-78.06393,38.39813,14.444444444292357,-2.757602070515404,266.0904
-78.06393,38.39812,14.444444444292357,-2.987402243139996,280.08072
-78.06392,38.39811,15.555555555756149,-3.217205071857732,293.79672
-78.0639,38.3981,17.777777777104752,-3.447011126192665,307.42128
-78.0639,38.39809,17.777777777104752,-3.6768118678517583,320.89344
-78.06389,38.39807,18.888888888568545,-4.136416766682974,334.24368
-78.06388,38.39806,20.000000000032337,-4.366221302993552,347.53296000000006
-78.06387,38.39805,21.11111111149613,-4.596026218932423,360.63936
-78.06386,38.39804,22.22222222138094,-4.825831514172986,373.50192
-78.06385,38.39803,23.33333333284473,-5.05563718904181,386.27304
-78.06384,38.39801,24.444444444308527,-5.515245123430057,398.95272000000006
-78.06384,38.398,24.444444444308527,-5.7450470034845305,411.48
-78.06383,38.39799,25.55555555577232,-5.9748538167483,423.91584
-78.06381,38.39798,27.77777777712092,-6.204666132255126,436.22976000000006
-78.0638,38.39797,28.888888888584713,-6.434473894017698,448.42176000000006
-78.0638,38.39796,28.888888888584713,-6.66427653316557,460.46136
-78.06379,38.39795,30.000000000048505,-6.8940848641254835,472.2876
-78.06378,38.39793,31.111111111512297,-7.3536965931630975,484.11384
-78.06377,38.39792,32.22222222139711,-7.583505872948375,495.81816
-78.06376,38.39791,33.3333333328609,-7.81331553203513,507.30912000000006
-78.06375,38.3979,34.444444444324695,-8.043125570749906,518.7696000000001
-78.06374,38.39789,35.55555555578849,-8.272935988929397,530.10816
-78.06373,38.39788,36.6666666656733,-8.502746786410286,541.2943200000001
-78.06372,38.39787,37.77777777713709,-8.73255796351914,552.32808
-78.06371,38.39785,38.88888888860088,-9.192173866669577,563.2704
-78.0637,38.39784,40.000000000064674,-9.421985992276875,574.0908000000001
-78.06369,38.39783,41.111111111528466,-9.651798497512061,584.78928
-78.06368,38.39782,42.222222221413276,-9.881611382048542,595.2744
-78.06367,38.39781,43.33333333287707,-10.111424646212868,605.72904
-78.06364,38.39777,46.66666666568946,-11.030672390033619,636.14808
-78.06364,38.39776,46.66666666568946,-11.260478064900825,646.08456
-78.06363,38.39775,47.777777777153254,-11.490293226224692,655.9296
-78.06362,38.39774,48.88888888861705,-11.720108767176288,665.74416
-78.06361,38.39773,50.000000000080846,-11.949924687429027,675.37584
-78.0636,38.39772,51.11111111154464,-12.17974098730944,684.91608
-78.06359,38.39771,52.22222222142945,-12.409557666654218,694.36488
-78.06358,38.39769,53.33333333289324,-12.869181538561575,703.66128
-78.06358,38.39768,53.33333333289324,-13.098988351659782,712.8967200000001
-78.06357,38.39767,54.44444444435703,-13.32880616939798,721.9797599999999
-78.06355,38.39766,56.666666665705634,-13.558635560645426,730.97136
-78.06355,38.39765,56.666666665705634,-13.788442943103972,739.87152
-78.06353,38.39762,58.88888888863322,-14.477888996426918,757.3060800000001
-78.06352,38.39761,60.00000000009701,-14.707708901218734,765.87096
-78.06351,38.3976,61.1111111115608,-14.937529185474737,774.3444000000001
-78.0635,38.39759,62.22222222144561,-15.167349849031606,782.6959200000001
-78.06349,38.39758,63.333333332909405,-15.39717089221592,790.9255200000001
-78.06348,38.39757,64.4444444443732,-15.626992314701077,799.0332000000001
-78.06345,38.39754,67.77777777718559,-16.316458859267648,822.71616
-78.06345,38.39753,67.77777777718559,-16.54626813888595,830.4276000000001
-78.06344,38.39751,68.88888888864939,-17.005900738636825,838.0171200000001
-78.06343,38.3975,70.00000000011318,-17.235724437906814,845.48472
-78.06342,38.39749,71.11111111157697,-17.465548516804073,852.8608800000001
-78.06341,38.39748,72.22222222146178,-17.695372975001995,860.11512
-78.0634,38.39747,73.33333333292558,-17.92519781282716,867.2474400000001
-78.06339,38.39746,74.44444444438936,-18.155023029952964,874.34928
